Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
7/1/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,5,Friday
7/2/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,6,Saturday
7/3/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,7,Sunday
7/4/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,1,Monday
7/5/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,2,Tuesday
7/6/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,3,Wednesday
7/7/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,4,Thursday
7/8/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,5,Friday
7/9/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,6,Saturday
7/10/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,7,Sunday
7/11/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,1,Monday
7/12/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,2,Tuesday
7/13/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,3,Wednesday
7/14/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,4,Thursday
7/15/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,5,Friday
7/16/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,6,Saturday
7/17/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,7,Sunday
7/18/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,1,Monday
7/19/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,2,Tuesday
